"Type.of.feeding.interaction","Mean_Predator","Median_Predator","Mean_Prey","Median_Prey","Mean_SizeRatio","Median_SizeRatio"
"insectivorous",15238.5023651609,1750,28.4121810691878,1.49,0.0531171889908049,0.00081203007518797
"piscivorous",15238.5023651609,1750,28.4121810691878,1.49,0.0531171889908049,0.00081203007518797
"planktivorous",15238.5023651609,1750,28.4121810691878,1.49,0.0531171889908049,0.00081203007518797
"predacious",15238.5023651609,1750,28.4121810691878,1.49,0.0531171889908049,0.00081203007518797
"predacious/piscivorous",15238.5023651609,1750,28.4121810691878,1.49,0.0531171889908049,0.00081203007518797
