"MyDF$Type.of.feeding.interaction","slope","intercept","R2","F_statistic","p_value"
"insectivorous",81.1591380069623,-3.45975627178893,0.621254577117463,49.2088780154159,8.51926669047012e-08
"piscivorous",63.5242722271402,16689.952952616,0.0249342302738246,531.203926503968,4.41250630922654e-116
"planktivorous",948.89775075851,2290.1168754522,0.159300474591894,296.92397359725,4.54828414724224e-61
"predacious",91.7079339600006,9149.45959407585,0.0823587839642833,1112.18854716926,1.31364285700756e-233
"predacious/piscivorous",11.949120671082,503.058942134918,0.194433583643607,38.3766492391315,4.79389028064076e-09
